customer_id,risk_score,risk_tier,decision,top_risk_factors,age,country_risk,occupation,annual_income,account_type,document_status,address_verified,pep_flag,sanctions_flag,adverse_media_flag,customer_tenure_years,digital_risk_score,fraud_history_flag,monthly_txn_count
C5000,29.29,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",45,High,Salaried,2687167,Current,Complete,1,0,0,0,1,31,1,442
C5001,4.62,LOW,APPROVE,No significant risk flags identified,62,Low,Self Employed,3572495,Corporate,Complete,1,0,0,0,9,22,0,401
C5002,14.98,LOW,APPROVE,No significant risk flags identified,46,High,Salaried,4553633,Savings,Partial,1,0,0,0,0,47,0,270
C5003,18.7,LOW,APPROVE,No significant risk flags identified,23,High,Business,2982877,Savings,Partial,0,0,0,0,3,41,0,267
C5004,13.26,LOW,APPROVE,No significant risk flags identified,59,Medium,Salaried,1719924,Current,Complete,0,0,0,0,15,72,0,289
C5005,7.0,LOW,APPROVE,No significant risk flags identified,60,Low,Salaried,2086942,Savings,Partial,1,0,0,0,4,49,0,50
C5006,26.0,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",19,Low,Self Employed,4406314,Savings,Complete,1,0,0,0,1,66,1,69
C5007,28.19,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Unusual income level, Multiple compliance flags triggered",56,Medium,Business,4737841,Current,Complete,1,0,0,0,13,74,1,457
C5008,31.38,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",59,Medium,Self Employed,3120656,NRI,Complete,0,0,0,0,14,26,1,378
C5009,30.53,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",70,Low,Self Employed,1360026,Current,Partial,1,0,0,0,2,65,1,324
C5010,23.76,LOW,APPROVE,No significant risk flags identified,52,High,Salaried,3469376,Savings,Partial,1,1,0,0,15,10,0,209
C5011,11.33,LOW,APPROVE,No significant risk flags identified,56,High,Salaried,940641,Savings,Complete,1,0,0,0,8,62,0,217
C5012,6.56,LOW,APPROVE,No significant risk flags identified,65,Low,Self Employed,1449684,Current,Complete,1,0,0,0,6,75,0,35
C5013,33.43,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Short customer tenure, Fraud history present",75,Medium,Salaried,3289353,Corporate,Complete,0,0,0,0,15,29,1,241
C5014,29.1,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",60,Medium,Salaried,811725,Savings,Complete,1,0,0,0,3,80,1,247
C5015,37.17,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",61,High,Student,3275205,Savings,Partial,1,0,0,0,13,63,1,482
C5016,11.58,LOW,APPROVE,No significant risk flags identified,25,High,Self Employed,4119004,Current,Partial,1,0,0,0,8,5,0,444
C5017,8.83,LOW,APPROVE,No significant risk flags identified,24,Low,Cash Business,862439,Savings,Complete,1,0,0,0,12,92,0,427
C5018,6.67,LOW,APPROVE,No significant risk flags identified,65,Medium,Salaried,4267015,Savings,Complete,1,0,0,0,5,15,0,443
C5019,34.19,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",69,High,Self Employed,938287,NRI,Missing,1,1,0,0,2,61,0,190
C5020,85.0,HIGH,REJECT,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",52,Medium,Salaried,3553504,Current,Partial,1,0,1,0,10,79,0,315
C5021,30.32,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Unusual income level",42,Medium,Salaried,4719459,Savings,Complete,0,0,0,0,4,28,1,250
C5022,11.53,LOW,APPROVE,No significant risk flags identified,55,High,Salaried,2844080,Savings,Complete,1,0,0,0,8,68,0,483
C5023,33.85,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",33,High,Business,2061614,Corporate,Complete,1,0,0,0,12,93,1,209
C5024,13.11,LOW,APPROVE,No significant risk flags identified,64,Low,Self Employed,1523877,Savings,Complete,0,0,0,0,4,95,0,238
C5025,23.89,LOW,APPROVE,No significant risk flags identified,54,Low,Business,806502,Savings,Complete,1,0,0,0,6,64,1,14
C5026,11.06,LOW,APPROVE,No significant risk flags identified,46,High,Cash Business,4152971,Current,Complete,1,0,0,0,4,34,0,25
C5027,3.83,LOW,APPROVE,No significant risk flags identified,20,Low,Self Employed,627364,Current,Complete,1,0,0,0,6,22,0,120
C5028,27.65,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",23,Low,Cash Business,343884,Savings,Complete,1,0,0,0,3,70,1,189
C5029,40.54,HIGH,EDD,"Overall weighted risk score elevated, Fraud history present, Address not verified",49,Medium,Self Employed,1049674,Savings,Missing,0,0,0,0,0,40,1,254
C5030,3.75,LOW,APPROVE,No significant risk flags identified,33,Low,Cash Business,2997179,Savings,Complete,1,0,0,0,11,25,0,289
C5031,23.05,LOW,APPROVE,No significant risk flags identified,33,Low,Business,2522647,NRI,Complete,1,0,0,0,3,26,1,466
C5032,22.89,LOW,APPROVE,No significant risk flags identified,54,High,Cash Business,255505,Current,Missing,1,0,0,0,8,67,0,181
C5033,28.27,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",52,Low,Salaried,4225114,Current,Partial,1,0,0,0,8,70,1,116
C5034,85.0,HIGH,REJECT,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",75,Medium,Self Employed,2695275,Savings,Complete,1,0,1,0,2,0,1,124
C5035,6.22,LOW,APPROVE,No significant risk flags identified,70,Low,Student,4686782,Corporate,Complete,1,0,0,0,3,51,0,288
C5036,9.79,LOW,APPROVE,No significant risk flags identified,24,Low,Student,2186392,Savings,Missing,1,0,0,0,12,22,0,389
C5037,5.1,LOW,APPROVE,No significant risk flags identified,35,Medium,Salaried,1930266,Savings,Complete,1,0,0,0,5,17,0,423
C5038,41.17,HIGH,EDD,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",69,Low,Salaried,2972512,Savings,Partial,1,1,0,0,13,51,1,126
C5039,10.17,LOW,APPROVE,No significant risk flags identified,43,Medium,Self Employed,718158,Savings,Partial,1,0,0,0,15,14,0,498
C5040,30.34,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",62,Medium,Salaried,2648912,NRI,Complete,1,0,0,0,7,57,1,422
C5041,28.09,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",72,Medium,Self Employed,1250552,Savings,Complete,1,0,0,0,11,26,1,490
C5042,33.91,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",44,Low,Salaried,3960905,Savings,Missing,0,0,0,0,5,15,1,14
C5043,35.52,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",66,High,Salaried,2895407,Corporate,Complete,1,0,0,0,5,85,1,462
C5044,44.74,HIGH,EDD,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",52,High,Student,4228512,Savings,Complete,1,1,0,0,0,76,1,287
C5045,85.0,HIGH,REJECT,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",39,Medium,Business,4357721,Current,Complete,1,0,1,0,5,5,0,480
C5046,14.08,LOW,APPROVE,No significant risk flags identified,37,Low,Business,3247704,NRI,Partial,0,0,0,0,2,63,0,365
C5047,11.08,LOW,APPROVE,No significant risk flags identified,52,High,Self Employed,366281,Savings,Complete,1,0,0,0,6,18,0,416
C5048,85.0,HIGH,REJECT,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",62,Low,Business,3082957,NRI,Complete,0,0,1,0,11,70,1,83
C5049,7.45,LOW,APPROVE,No significant risk flags identified,64,Low,Business,2323049,Savings,Complete,1,0,0,0,11,90,0,48
C5050,7.23,LOW,APPROVE,No significant risk flags identified,65,Low,Self Employed,250370,Current,Complete,1,0,0,0,2,65,0,126
C5051,18.21,LOW,APPROVE,No significant risk flags identified,28,High,Student,2198265,Savings,Partial,0,0,0,0,7,28,0,441
C5052,8.71,LOW,APPROVE,No significant risk flags identified,71,Medium,Business,3935784,Savings,Complete,1,0,0,0,1,49,0,397
C5053,32.1,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",26,Medium,Salaried,966402,NRI,Partial,1,0,0,0,6,50,1,219
C5054,39.36,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Multiple compliance flags triggered, Fraud history present",41,Low,Cash Business,3995815,Current,Partial,0,0,0,1,11,1,1,449
C5055,10.21,LOW,APPROVE,No significant risk flags identified,53,High,Salaried,3113264,Current,Complete,1,0,0,0,1,50,0,246
C5056,30.36,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",36,Low,Salaried,4081514,Corporate,Partial,1,0,0,0,11,87,1,213
C5057,28.85,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",45,Low,Salaried,2124400,Savings,Partial,1,0,0,0,3,74,1,329
C5058,23.36,LOW,APPROVE,No significant risk flags identified,45,Low,Business,2139433,Current,Complete,1,0,0,0,4,55,1,50
C5059,31.33,MEDIUM,MANUAL_REVIEW,"Overall weighted risk score elevated, Fraud history present, Multiple compliance flags triggered",36,Medium,Cash Business,1837311,Savings,Complete,1,0,0,0,3,94,1,129
